book_id,books_count,isbn13,authors,original_publication_year,original_title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,Ratings_Dist
1,275,9780439785970.0,J.K. Rowling,2005,Harry Potter and the Half-Blood Prince,eng,4.54,1678823,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,Between 4-5
7624,458,9780140283330.0,William Golding,1954,Lord of the Flies ,eng,3.64,1605019,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,Between 3-4
8442457,196,9780297859380.0,Gillian Flynn,2012,Gone Girl,eng,4.03,512475,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,Between 4-5
4667024,183,9780399155340.0,Kathryn Stockett,2009,The Help,eng,4.45,1531753,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,Between 4-5
890,373,9780142000670.0,John Steinbeck,1937,Of Mice and Men ,eng,3.84,1467496,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,Between 3-4
930,220,9780739326220.0,Arthur Golden,1997,Memoirs of a Geisha,eng,4.08,1300209,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 4-5
10818853,169,9781612130290.0,E.L. James,2011,Fifty Shades of Grey,eng,3.67,1338493,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,Between 3-4
865,458,9780061122420.0,Paul Coelho,1988,O Alquimista,eng,3.82,1299566,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,Between 3-4
3636,192,9780385732550.0,Lois Lowry,1993,The Giver,eng,4.12,1296825,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,Between 4-5
100915,474,9780060764890.0,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",eng,4.19,1531800,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,Between 4-5
14050,167,9780965818670.0,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,3.95,746287,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg,Between 3-4
13496,101,9780553588480.0,George R.R. Martin,1996,A Game of Thrones,eng,4.45,1319204,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg,Between 4-5
19501,185,9780143038410.0,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",eng,3.51,1181647,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,Between 3-4
28187,159,9780786838650.0,Rick Riordan,2005,The Lightning Thief,eng,4.23,1366265,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,Between 4-5
1934,1707,9780451529300.0,Louisa May Alcott,1868,Little Women,eng,4.04,1257121,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 4-5
10210,2568,9780142437210.0,Charlotte Brontë,1847,Jane Eyre,eng,4.1,1198557,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,Between 4-5
15931,190,9780553816720.0,Nicholas Sparks,1996,The Notebook,eng,4.06,1053403,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,Between 4-5
43641,128,9781565125600.0,Sara Gruen,2006,Water for Elephants,eng,4.07,1068146,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg,Between 4-5
19063,251,9780375831000.0,Markus Zusak,2005,The Book Thief,eng,4.36,1159741,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,Between 4-5
4381,507,9780307347980.0,Ray Bradbury,1953,Fahrenheit 451,spa,3.97,570498,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg,Between 3-4
49041,194,9780316160190.0,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,3.52,1149630,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg,Between 3-4
30119,45,9780060513030.0,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,eng,4.29,1016888,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,Between 4-5
428263,185,9780316160210.0,Stephenie Meyer,2007,Eclipse,eng,3.69,1134511,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg,Between 3-4
113436,217,9780375826700.0,Christopher Paolini,2002,Eragon,eng,3.86,1104021,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,Between 3-4
11,257,9780345391800.0,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,eng,4.2,936782,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,Between 4-5
5129,515,9780060929880.0,Aldous Huxley,1932,Brave New World,eng,3.97,1022601,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,Between 3-4
1162543,183,9780316067930.0,Stephenie Meyer,2008,Breaking Dawn,eng,3.7,1070245,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,Between 3-4
37435,125,9780142001740.0,Sue Monk Kidd,2001,The Secret Life of Bees,eng,4.01,916189,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,Between 4-5
2956,2277,9780142437180.0,Mark Twain,1884,The Adventures of Huckleberry Finn,eng,3.8,953758,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,Between 3-4
24178,180,9780064410940.0,E.B. White,1952,Charlotte's Web,eng,4.15,1064521,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,Between 4-5
1618,183,9781400032720.0,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,Between 3-4
22557272,14,9781594633670.0,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1008778,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,Between 3-4
6185,2498,9780393978900.0,Emily Brontë,1847,Wuthering Heights,eng,3.82,899195,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 3-4
10917,125,9780743454540.0,Jodi Picoult,2004,My Sister's Keeper,eng,4.06,863879,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,Between 4-5
4981,241,9780385333850.0,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06,846488,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,Between 4-5
18405,409,9780446675540.0,Margaret Mitchell,1936,Gone with the Wind,eng,4.28,873981,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,Between 4-5
128029,197,9781594489500.0,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,4.34,818742,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,Between 4-5
22628,128,9780671027350.0,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,4.21,888806,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg,Between 4-5
11735983,164,9780007442910.0,Veronica Roth,2012,Insurgent,eng,4.07,836362,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg,Between 4-5
375802,224,9780812550700.0,Orson Scott Card,1985,Ender's Game,eng,4.3,813439,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,Between 4-5
18490,2618,9780141439470.0,Mary Wollstonecraft Shelley,1818,"Frankenstein; or, The Modern Prometheus",eng,3.75,808589,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,Between 3-4
11588,289,9780450040180.0,Stephen King,1977,The Shining,eng,4.17,791850,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,Between 4-5
1656001,161,9780316068050.0,Stephenie Meyer,2008,The Host,eng,3.84,749780,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg,Between 3-4
99561,187,9780142402510.0,John Green,2005,Looking for Alaska,eng,4.09,783470,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg,Between 4-5
14935,1969,9780141439660.0,Jane Austen,1811,Sense and Sensibility,eng,4.06,738894,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,Between 4-5
38709,138,9780439244190.0,"Louis Sachar, Louis Sachar",1998,Holes,eng,3.93,747445,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,Between 3-4
5139,129,9780307275550.0,Lauren Weisberger,2003,The Devil Wears Prada,eng,3.7,665930,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 3-4
157993,1708,9780156012200.0,Antoine de Saint-Exupéry,1946,Le Petit Prince,eng,4.28,738757,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,Between 4-5
7445,92,9780743247540.0,Jeannette Walls,2005,The Glass Castle,eng,4.24,621099,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,Between 4-5
1953,525,9780141439600.0,Charles Dickens,1859,A Tale of Two Cities,eng,3.81,637412,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,Between 3-4
7677,176,9780307348140.0,Michael Crichton,1990,Jurassic Park,spa,3.96,447833,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 3-4
370493,81,9780060256650.0,Shel Silverstein,1964,The Giving Tree,eng,4.38,702332,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg,Between 4-5
32542,158,9780385338610.0,John Grisham,1989,A Time to Kill,eng,4.03,597775,12106,25938,122675,218617,229488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 4-5
1617,109,9780374500020.0,Elie Wiesel,1958,Un di Velt Hot Geshvign,eng,4.3,691231,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg,Between 4-5
6442769,178,9780142414930.0,John Green,2008,Paper Towns,eng,3.88,461311,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg,Between 3-4
21787,129,9780345418260.0,William Goldman,1973,The Princess Bride,eng,4.25,628637,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg,Between 4-5
231804,156,9780140385720.0,S.E. Hinton,1967,The Outsiders,eng,4.06,659248,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg,Between 4-5
6186357,147,9780385737940.0,James Dashner,2009,The Maze Runner,eng,4.02,719925,15291,43370,150488,266698,302109,https://images.gr-assets.com/books/1375596592m/6186357.jpg,Between 4-5
1202,124,9780061234000.0,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,eng,3.93,524191,14586,26538,115789,216316,176072,https://images.gr-assets.com/books/1327909092m/1202.jpg,Between 3-4
2998,1350,9780517189600.0,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,639357,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,Between 4-5
320,555,9780060531040.0,Gabriel García Márquez,1967,Cien años de soledad,eng,4.04,490565,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg,Between 4-5
5297,2303,9780375751520.0,Oscar Wilde,1891,The Picture of Dorian Gray,eng,4.06,590014,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg,Between 4-5
13536860,133,9780345803500.0,E.L. James,2012,Fifty Shades Freed,eng,3.88,387290,39079,55691,109963,140304,265079,https://images.gr-assets.com/books/1336418837m/13536860.jpg,Between 3-4
17245,2207,9780393970130.0,Bram Stoker,1897,Dracula,eng,3.98,618973,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg,Between 3-4
5060378,209,9780307269980.0,Stieg Larsson,2006,Flickan som lekte med elden,eng,4.22,563994,4623,15781,91021,258236,279592,https://images.gr-assets.com/books/1351778881m/5060378.jpg,Between 4-5
11857408,147,9781612130580.0,E.L. James,2011,Fifty Shades Darker,eng,3.87,552059,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg,Between 3-4
7244,39,9780060786500.0,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,546502,21699,33702,92590,175725,239071,https://images.gr-assets.com/books/1412242487m/7244.jpg,Between 4-5
4137,59,9780349113910.0,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,495736,19718,29034,93427,178021,194076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 3-4
19543,110,9780099408390.0,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,620618,15392,27532,93700,167043,332394,https://images.gr-assets.com/books/1384434560m/19543.jpg,Between 4-5
7126,1310,9780140449270.0,Alexandre Dumas,1844,Le Comte de Monte-Cristo,eng,4.21,555822,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg,Between 4-5
6288,181,9780307265430.0,Cormac McCarthy,2006,The Road,eng,3.95,504793,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg,Between 3-4
18710190,153,9780007524270.0,Veronica Roth,2013,Allegiant,eng,3.63,463257,31626,78366,176061,192785,184388,https://images.gr-assets.com/books/1395582745m/18710190.jpg,Between 3-4
3473,131,9780446693810.0,Nicholas Sparks,1999,A Walk to Remember,eng,4.15,546948,10640,24094,94327,169650,260870,https://images.gr-assets.com/books/1385738968m/3473.jpg,Between 4-5
9416,144,9780440241420.0,Sophie Kinsella,2000,Confessions of a Shopaholic,eng,3.61,543658,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg,Between 3-4
24280,1319,9780451525260.0,Victor Hugo,1862,Les Misérables,eng,4.14,513407,15225,25914,87461,167385,264147,https://images.gr-assets.com/books/1411852091m/24280.jpg,Between 4-5
10572,202,9780553381700.0,George R.R. Martin,1998,A Clash of Kings,eng,4.4,523303,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg,Between 4-5
10441,98,9780143037150.0,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,501430,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 3-4
15507958,168,9780670026610.0,Jojo Moyes,2012,Me Before You,eng,4.27,587647,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg,Between 4-5
168668,251,9780684833390.0,Joseph Heller,1961,Catch-22,eng,3.98,563265,20639,37912,106269,186745,230950,https://images.gr-assets.com/books/1463157317m/168668.jpg,Between 3-4
6900,172,9780751529810.0,Mitch Albom,1997,Tuesdays with Morrie,eng,4.06,556518,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg,Between 4-5
2187,125,9780312422160.0,Jeffrey Eugenides,2002,Middlesex,eng,3.98,488243,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg,Between 3-4
24583,2448,9780143039560.0,Mark Twain,1876,The Adventures of Tom Sawyer,eng,3.89,555359,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg,Between 3-4
18131,165,9780440498060.0,Madeleine L'Engle,1962,A Wrinkle in Time,eng,4.04,615907,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg,Between 4-5
7763,126,9780143038090.0,Amy Tan,1989,The Joy Luck Club,eng,3.9,515090,14802,30197,116748,195930,167566,https://images.gr-assets.com/books/1304978653m/7763.jpg,Between 3-4
38447,236,9780385490820.0,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,607889,13998,32561,116975,252942,267088,https://images.gr-assets.com/books/1498057733m/38447.jpg,Between 4-5
452306,93,9780385729340.0,Ann Brashares,2001,The Sisterhood of the Traveling Pants,eng,3.75,525706,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg,Between 3-4
37442,80,9780060987110.0,Gregory Maguire,1995,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52,506900,40802,65835,132061,153583,133217,https://images.gr-assets.com/books/1437733293m/37442.jpg,Between 3-4
7937843,151,9780316098340.0,Emma Donoghue,2010,Room,eng,4.03,511360,11020,26079,99831,217995,201402,https://images.gr-assets.com/books/1344265419m/7937843.jpg,Between 4-5
234225,241,9780340839940.0,Frank Herbert,1965,Dune,eng,4.19,485032,13354,22778,74206,154771,260867,https://images.gr-assets.com/books/1434908555m/234225.jpg,Between 4-5
2612,100,9780316346630.0,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,15111,25871,106453,189120,162511,https://images.gr-assets.com/books/1473396980m/2612.jpg,Between 3-4
11084145,190,9781451648540.0,Walter Isaacson,2011,Steve Jobs,eng,4.09,560715,19680,21986,88456,203975,245159,https://images.gr-assets.com/books/1327861368m/11084145.jpg,Between 4-5
332613,275,9780451163970.0,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,491642,5672,15978,78714,191622,222472,https://images.gr-assets.com/books/1485308778m/332613.jpg,Between 4-5
2165,666,9780684830490.0,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,520630,28645,52583,136217,186747,170136,https://images.gr-assets.com/books/1329189714m/2165.jpg,Between 3-4
4395,381,9780142000660.0,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,322321,23552,40261,103475,173589,212475,https://images.gr-assets.com/books/1352912927m/4395.jpg,Between 3-4
8127,1314,9780451528830.0,L.M. Montgomery,1908,Anne of Green Gables,eng,4.23,502247,8864,19531,80256,158725,265976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 4-5
62291,175,9780553573430.0,George R.R. Martin,2000,A Storm of Swords,eng,4.54,469022,1456,4820,36418,149268,335682,https://images.gr-assets.com/books/1497931121m/62291.jpg,Between 4-5
137791,75,9780060759960.0,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,eng,3.79,465676,15795,35314,120396,158451,140552,https://images.gr-assets.com/books/1408313524m/137791.jpg,Between 3-4
10964,189,9780440242950.0,Diana Gabaldon,1991,Outlander,eng,4.2,515547,20998,27673,73126,147085,309960,https://images.gr-assets.com/books/1402600310m/10964.jpg,Between 4-5
12296,1579,9780142437260.0,Nathaniel Hawthorne,1850,The Scarlet Letter,eng,3.37,509883,34813,80444,182701,165079,96209,https://images.gr-assets.com/books/1404810944m/12296.jpg,Between 3-4
9460487,155,9781594744760.0,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,eng,3.89,613674,14920,45434,159227,234792,217849,https://images.gr-assets.com/books/1472782916m/9460487.jpg,Between 3-4
6892870,193,9780307270000.0,Stieg Larsson,2007,Luftslottet som sprängdes,eng,4.2,443951,3823,14773,78387,203297,226511,https://images.gr-assets.com/books/1327708260m/6892870.jpg,Between 4-5
18007564,148,9780804139020.0,Andy Weir,2012,The Martian,eng,4.39,423344,4114,10856,49200,173861,291671,https://images.gr-assets.com/books/1413706054m/18007564.jpg,Between 4-5
5043,255,9780451207140.0,Ken Follett,1989,The Pillars of the Earth,eng,4.29,462517,9248,16886,57825,148052,263882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 4-5
8664353,16,9781400064170.0,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,10308,12874,47828,144203,313339,https://images.gr-assets.com/books/1327861115m/8664353.jpg,Between 4-5
976,180,9780671027380.0,Dan Brown,2001,Deception Point,eng,3.67,455610,14380,45006,143182,160819,116346,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 3-4
17333223,108,9780316055440.0,Donna Tartt,2013,The Goldfinch,eng,3.87,396756,19164,35300,93459,153459,162465,https://images.gr-assets.com/books/1451554970m/17333223.jpg,Between 3-4
1217100,150,9781595141710.0,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,463783,15246,35668,105414,179197,235756,https://images.gr-assets.com/books/1333822506m/1217100.jpg,Between 4-5
2865,169,9780452287020.0,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,467577,11525,28287,123463,189656,139246,https://images.gr-assets.com/books/1327197580m/2865.jpg,Between 3-4
4374400,130,9780525421030.0,Gayle Forman,2009,If I Stay,eng,3.96,503527,12666,34896,122977,190793,205755,https://images.gr-assets.com/books/1347462970m/4374400.jpg,Between 3-4
4989,80,9780312353770.0,Anita Diamant,1997,The Red Tent,eng,4.16,424981,9470,19616,67878,146178,206075,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Between 4-5
28186,121,9780786856860.0,Rick Riordan,2006,The Sea of Monsters,eng,4.23,514932,2967,13884,91127,188988,253546,https://images.gr-assets.com/books/1400602661m/28186.jpg,Between 4-5
5526,111,9780446528050.0,Nicholas Sparks,2006,Dear John,eng,4.01,441062,9683,25220,94711,145202,179965,https://images.gr-assets.com/books/1397749854m/5526.jpg,Between 4-5
1582996,125,9781416914300.0,Cassandra Clare,2008,City of Ashes,eng,4.21,541117,6135,20075,92626,192934,274238,https://images.gr-assets.com/books/1432730356m/1582996.jpg,Between 4-5
15241,453,9780618346260.0,J.R.R. Tolkien,1954,The Two Towers,eng,4.42,480446,3013,10264,55433,156232,307267,https://images.gr-assets.com/books/1298415523m/15241.jpg,Between 4-5
42156,65,9780312321180.0,Emily Giffin,2004,Something Borrowed,eng,3.83,403601,16019,29297,104322,148507,137044,https://images.gr-assets.com/books/1305063535m/42156.jpg,Between 3-4
23772,72,9780394800160.0,Dr. Seuss,1960,Green Eggs and Ham,eng,4.29,457475,6605,14530,66873,121751,251282,https://images.gr-assets.com/books/1468680100m/23772.jpg,Between 4-5
